id,category,class,board,stateBoard,medium,subject,country,exam,level,program,title,description,questionCount,difficulty,popular,driveUrl
comp-in-ssc-english-quantaptitude-001,competitive,,,,English,Quantitative Aptitude,IN,SSC,,,SSC Quantitative Aptitude Set,Practice questions covering arithmetic algebra & data interpretation for SSC exams.,450,Moderate,false,https://drive.google.com/drive/folders/REPLACE_comp_in_ssc_qa_001
comp-in-cuet-english-generaltest-001,competitive,,,,English,General Test,IN,CUET,,,CUET General Test Practice Set,Reasoning general awareness & quantitative practice questions for CUET.,350,Moderate,false,https://drive.google.com/drive/folders/REPLACE_comp_in_cuet_gt_001
comp-us-sat-english-math-001,competitive,,,,English,Mathematics,US,SAT,,,SAT Math Practice Set,Full-syllabus SAT Math practice questions with mixed difficulty.,400,Moderate,true,https://drive.google.com/drive/folders/REPLACE_comp_us_sat_math_001
comp-us-gre-english-verbal-001,competitive,,,,English,Verbal Reasoning,US,GRE,,,GRE Verbal Reasoning Set,Reading comprehension & text completion practice questions for the GRE.,300,Advanced,false,https://drive.google.com/drive/folders/REPLACE_comp_us_gre_verbal_001
comp-us-toefl-english-listening-001,competitive,,,,English,Listening,US,TOEFL,,,TOEFL Listening Practice Set,Listening comprehension practice material for the TOEFL exam.,150,Moderate,false,https://drive.google.com/drive/folders/REPLACE_comp_us_toefl_listening_001
comp-uk-gcse-english-math-001,competitive,,,,English,Mathematics,UK,GCSE,,,GCSE Mathematics Question Set,Full-syllabus GCSE Maths practice questions across foundation & higher tiers.,400,Moderate,true,https://drive.google.com/drive/folders/REPLACE_comp_uk_gcse_math_001
comp-uk-ielts-english-writing-001,competitive,,,,English,Writing,UK,IELTS,,,IELTS Writing Task Bank,Task 1 & 2 writing prompts with model practice sets for IELTS.,120,Moderate,false,https://drive.google.com/drive/folders/REPLACE_comp_uk_ielts_writing_001
he-ug-btech-english-datastructures-001,higher-ed,,,,English,Data Structures,,,UG,B.Tech.,Data Structures Question Bank,Core Data Structures practice questions for B.Tech. students.,300,Moderate,true,https://drive.google.com/drive/folders/REPLACE_he_ug_btech_ds_001
he-ug-bcom-english-accountancy-001,higher-ed,,,,English,Accountancy,,,UG,B.Com.,Financial Accounting Practice Set,Financial accounting practice questions for B.Com. students.,260,Moderate,false,https://drive.google.com/drive/folders/REPLACE_he_ug_bcom_acc_001
he-pg-mba-english-management-001,higher-ed,,,,English,Management Principles,,,PG,MBA,MBA Management Principles Set,Case-based and conceptual practice questions for MBA Management Principles.,220,Advanced,false,https://drive.google.com/drive/folders/REPLACE_he_pg_mba_mgmt_001
he-phd-english-researchmethodology-001,higher-ed,,,,English,Research Methodology,,,PhD,Research / Thesis Resources,Research Methodology Resource Set,Reference question sets and reading material on research methodology for PhD scholars.,100,Advanced,false,https://drive.google.com/drive/folders/REPLACE_he_phd_research_methodology_001
